,IncGeo_WardName,DelayCodeId,tmoyCodeId,tmedCodeId,tstdCodeId,tminCodeId,tmaxCodeId
68,FAIRFIELD,9.0,417.14285714285717,410.5,52.994712570591055,364.0,573.0
69,FAIRFIELD,6.0,484.0,484.0,0.0,484.0,484.0
70,FAIRFIELD,11.0,585.25,473.0,303.07466076859674,365.0,1030.0
71,PINKWELL,0.0,224.0,229.0,64.81703253329343,4.0,346.0
72,PINKWELL,12.0,469.1,454.0,83.53310090837297,362.0,701.0
73,PINKWELL,8.0,521.0,521.0,55.154328932550705,482.0,560.0
74,PINKWELL,5.0,452.0,465.0,38.19685850956856,409.0,482.0
75,GASCOIGNE,0.0,251.1904761904762,261.0,68.83244640179281,4.0,354.0
76,GASCOIGNE,12.0,449.09090909090907,407.5,157.6569238178445,364.0,1126.0
77,GASCOIGNE,5.0,501.5,501.5,178.89801564019652,375.0,628.0
78,GASCOIGNE,8.0,482.0,482.0,0.0,482.0,482.0
79,GASCOIGNE,9.0,486.3333333333333,411.0,145.45216854118516,394.0,654.0
80,GASCOIGNE,11.0,534.0,534.0,0.0,534.0,534.0
81,GASCOIGNE,13.0,438.0,438.0,74.95331880577403,385.0,491.0
82,SHADWELL,0.0,204.58561643835617,204.0,74.08240186865572,3.0,360.0
83,SHADWELL,12.0,422.22222222222223,414.0,43.5969545317611,363.0,477.0
84,SHADWELL,9.0,519.8333333333334,409.0,296.1428146463572,362.0,1118.0
85,DUNDONALD,0.0,240.6590909090909,248.0,62.965824315357565,63.0,355.0
86,DUNDONALD,12.0,396.5,396.5,27.577164466275352,377.0,416.0
87,DUNDONALD,13.0,514.0,514.0,0.0,514.0,514.0
88,DUNDONALD,5.0,496.0,496.0,0.0,496.0,496.0
89,DUNDONALD,8.0,522.0,522.0,0.0,522.0,522.0
90,CHISWICK RIVERSIDE,0.0,229.83582089552237,225.5,67.75788321140934,2.0,357.0
91,CHISWICK RIVERSIDE,12.0,467.6363636363636,445.0,70.49293968515248,378.0,574.0
92,CHISWICK RIVERSIDE,9.0,565.625,605.0,186.99498656381138,366.0,930.0
93,CHISWICK RIVERSIDE,5.0,633.0,633.0,43.840620433565945,602.0,664.0
94,CHISWICK RIVERSIDE,11.0,593.0,593.0,0.0,593.0,593.0
95,CHISWICK RIVERSIDE,8.0,410.0,410.0,0.0,410.0,410.0
96,CHISWICK RIVERSIDE,10.0,398.0,398.0,0.0,398.0,398.0
97,BOROUGH & BANKSIDE,0.0,251.61379310344827,255.0,60.49669683646486,13.0,479.0
98,BOROUGH & BANKSIDE,13.0,389.0,389.0,36.76955262170047,363.0,415.0
99,BOROUGH & BANKSIDE,12.0,450.45454545454544,414.0,93.70761379480795,364.0,772.0
100,BOROUGH & BANKSIDE,9.0,469.8666666666667,421.0,107.88344680829445,363.0,666.0
101,BOROUGH & BANKSIDE,3.0,377.0,377.0,0.0,377.0,377.0
102,BOROUGH & BANKSIDE,8.0,475.0,475.0,0.0,475.0,475.0
103,BOROUGH & BANKSIDE,5.0,413.0,413.0,0.0,413.0,413.0
104,ST. JAMES'S,0.0,242.19005613472333,248.0,67.6331571493155,1.0,454.0
105,ST. JAMES'S,9.0,479.65562913907286,440.0,111.83756353793454,360.0,871.0
